name;image;landmass;zone;area;population;language;religion;bars;stripes;colours;red ;green;blue;gold;white;black;orange ;mainhue;circles;crosses;saltires;quarters;sunstars;crescent;triangle;icon;animate;text;topleft;botright
Greenland;https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Greenland.svg;1;4;2176;0;6;1;0;0;2;1;0;0;0;1;0;0;white;1;0;0;0;0;0;0;0;0;0;white;red
Grenada;https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg;1;4;0;0;1;1;0;0;3;1;1;0;1;0;0;0;gold;1;0;0;0;7;0;1;0;1;0;red;red
Guam;https://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Guam.svg;6;1;0;0;1;1;0;0;7;1;1;1;1;1;0;1;blue;0;0;0;0;0;0;0;1;1;1;red;red
Guatemala;https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg;1;4;109;8;2;0;3;0;2;0;0;1;0;1;0;0;blue;0;0;0;0;0;0;0;0;0;0;blue;blue
Guinea;https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg;4;4;246;6;3;2;3;0;3;1;1;0;1;0;0;0;gold;0;0;0;0;0;0;0;0;0;0;red;green
Guinea-Bissau;https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg;4;4;36;1;6;5;1;2;4;1;1;0;1;0;1;0;gold;0;0;0;0;1;0;0;0;0;0;red;green
Guyana;https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg;2;4;215;1;1;4;0;0;5;1;1;0;1;1;1;0;green;0;0;0;0;0;0;1;0;0;0;black;green
Haiti;https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg;1;4;28;6;3;0;2;0;2;1;0;0;0;0;1;0;black;0;0;0;0;0;0;0;0;0;0;black;red
Honduras;https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg;1;4;112;4;2;0;0;3;2;0;0;1;0;1;0;0;blue;0;0;0;0;5;0;0;0;0;0;blue;blue
Hong Kong S.A.R.;https://upload.wikimedia.org/wikipedia/commons/5/5b/Flag_of_Hong_Kong.svg;5;1;1;5;7;3;0;0;6;1;1;1;1;1;0;1;blue;1;1;1;1;0;0;0;1;1;1;white;blue
Hungary;https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg;3;1;93;11;9;6;0;3;3;1;1;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;green
Iceland;https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg;3;4;103;0;6;1;0;0;3;1;0;1;0;1;0;0;blue;0;1;0;0;0;0;0;0;0;0;blue;blue
India;https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg;5;1;3268;684;6;4;0;3;4;0;1;1;0;1;0;1;orange;1;0;0;0;0;0;0;1;0;0;orange;green
Indonesia;https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg;6;2;1904;157;10;2;0;2;2;1;0;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;white
Iran;https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg;5;1;1648;39;6;2;0;3;3;1;1;0;0;1;0;0;red;0;0;0;0;0;0;0;1;0;1;green;red
Iraq;https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg;5;1;435;14;8;2;0;3;4;1;1;0;0;1;1;0;red;0;0;0;0;3;0;0;0;0;0;red;black
Ireland;https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg;3;4;70;3;1;0;3;0;3;0;1;0;0;1;0;1;white;0;0;0;0;0;0;0;0;0;0;green;orange
Israel;https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg;5;1;21;4;10;7;0;2;2;0;0;1;0;1;0;0;white;0;0;0;0;1;0;0;0;0;0;blue;blue
Italy;https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg;3;1;301;57;6;0;3;0;3;1;1;0;0;1;0;0;white;0;0;0;0;0;0;0;0;0;0;green;red
Ivory Coast;https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg;4;4;323;7;3;5;3;0;3;1;1;0;0;1;0;0;white;0;0;0;0;0;0;0;0;0;0;red;green
Jamaica;https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg;1;4;11;2;1;1;0;0;3;0;1;0;1;0;1;0;green;0;0;1;0;0;0;1;0;0;0;gold;gold
Japan;https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Japan.svg;5;1;372;118;9;7;0;0;2;1;0;0;0;1;0;0;white;1;0;0;0;1;0;0;0;0;0;white;white
Jordan;https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg;5;1;98;2;8;2;0;3;4;1;1;0;0;1;1;0;black;0;0;0;0;1;0;1;0;0;0;black;green
Kampuchea;;5;1;181;6;10;3;0;0;2;1;0;0;1;0;0;0;red;0;0;0;0;0;0;0;1;0;0;red;red
Kenya;https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg;4;1;583;17;10;5;0;5;4;1;1;0;0;1;1;0;red;1;0;0;0;0;0;0;1;0;0;black;green
Kiribati;https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg;6;1;0;0;1;1;0;0;4;1;0;1;1;1;0;0;red;0;0;0;0;1;0;0;1;1;0;red;blue
Kuwait;https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg;5;1;18;2;8;2;0;3;4;1;1;0;0;1;1;0;green;0;0;0;0;0;0;0;0;0;0;green;red
Laos;https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg;5;1;236;3;10;6;0;3;3;1;0;1;0;1;0;0;red;1;0;0;0;0;0;0;0;0;0;red;red
Lebanon;https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg;5;1;10;3;8;2;0;2;4;1;1;0;0;1;0;1;red;0;0;0;0;0;0;0;0;1;0;red;red
Lesotho;https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg;4;2;30;1;10;5;2;0;4;1;1;1;0;1;0;0;blue;0;0;0;0;0;0;0;1;0;0;green;blue
Liberia;https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg;4;4;111;1;10;5;0;11;3;1;0;1;0;1;0;0;red;0;0;0;1;1;0;0;0;0;0;blue;red
Libya;https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg;4;1;1760;3;8;2;0;0;1;0;1;0;0;0;0;0;green;0;0;0;0;0;0;0;0;0;0;green;green
Liechtenstein;https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg;3;1;0;0;4;0;0;2;3;1;0;1;1;0;0;0;red;0;0;0;0;0;0;0;1;0;0;blue;red
Luxembourg;https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg;3;1;3;0;4;0;0;3;3;1;0;1;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;blue
Malagasy;;4;2;587;9;10;1;1;2;3;1;1;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;white;green
Malawi;https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg;4;2;118;6;10;5;0;3;3;1;1;0;0;0;1;0;red;0;0;0;0;1;0;0;0;0;0;black;green
Malaysia;https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg;5;1;333;13;10;2;0;14;4;1;0;1;1;1;0;0;red;0;0;0;1;1;1;0;0;0;0;blue;white
Maldives;https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg;5;1;0;0;10;2;0;0;3;1;1;0;0;1;0;0;red;0;0;0;0;0;1;0;0;0;0;red;red
Mali;https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg;4;4;1240;7;3;2;3;0;3;1;1;0;1;0;0;0;gold;0;0;0;0;0;0;0;0;0;0;green;red
Malta;https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg;3;1;0;0;10;0;2;0;3;1;0;0;0;1;1;0;red;0;1;0;0;0;0;0;1;0;0;white;red
Marianas;https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_the_Northern_Mariana_Islands.svg;6;1;0;0;10;1;0;0;3;0;0;1;0;1;0;0;blue;0;0;0;0;1;0;0;1;0;0;blue;blue
Mauritania;https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg;4;4;1031;2;8;2;0;0;2;0;1;0;1;0;0;0;green;0;0;0;0;1;1;0;0;0;0;green;green
Mauritius;https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg;4;2;2;1;1;4;0;4;4;1;1;1;1;0;0;0;red;0;0;0;0;0;0;0;0;0;0;red;green
Mexico;https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg;1;4;1973;77;2;0;3;0;4;1;1;0;0;1;0;1;green;0;0;0;0;0;0;0;0;1;0;green;red
Micronesia;https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg;6;1;1;0;10;1;0;0;2;0;0;1;0;1;0;0;blue;0;0;0;0;4;0;0;0;0;0;blue;blue
Monaco;https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg;3;1;0;0;3;0;0;2;2;1;0;0;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;white
Mongolia;https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg;5;1;1566;2;10;6;3;0;3;1;0;1;1;0;0;0;red;2;0;0;0;1;1;1;1;0;0;red;red
Montserrat;https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Montserrat.svg;1;4;0;0;1;1;0;0;7;1;1;1;1;1;1;0;blue;0;2;1;1;0;0;0;1;1;0;white;blue
Morocco;https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg;4;4;447;20;8;2;0;0;2;1;1;0;0;0;0;0;red;0;0;0;0;1;0;0;0;0;0;red;red
Mozambique;https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg;4;2;783;12;10;5;0;5;5;1;1;0;1;1;1;0;gold;0;0;0;0;1;0;1;1;0;0;green;gold
Nauru;https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg;6;2;0;0;10;1;0;3;3;0;0;1;1;1;0;0;blue;0;0;0;0;1;0;0;0;0;0;blue;blue
Nepal;https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg;5;1;140;16;10;4;0;0;3;0;0;1;0;1;0;1;brown;0;0;0;0;2;1;0;0;0;0;blue;blue
Netherlands;https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg;3;1;41;14;6;1;0;3;3;1;0;1;0;1;0;0;red;0;0;0;0;0;0;0;0;0;0;red;blue
New Zealand;https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg;6;2;268;2;1;1;0;0;3;1;0;1;0;1;0;0;blue;0;1;1;1;4;0;0;0;0;0;white;blue
Nicaragua;https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg;1;4;128;3;2;0;0;3;2;0;0;1;0;1;0;0;blue;0;0;0;0;0;0;0;0;0;0;blue;blue
Niger;https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg;4;1;1267;5;3;2;0;3;3;0;1;0;0;1;0;1;orange;1;0;0;0;0;0;0;0;0;0;orange;green
Nigeria;https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg;4;1;925;56;10;2;3;0;2;0;1;0;0;1;0;0;green;0;0;0;0;0;0;0;0;0;0;green;green
